vo_pair,mean_abs_diff,lemma_ttr,lexical_density_tokens,content_ttr,function_mattr,noun_ttr,verb_ttr,adj_ttr,adv_ttr,prp_ttr,argument_ttr,bigram_lemma_ttr,trigram_lemma_ttr,adjacent_overlap_binary_all_sent,adjacent_overlap_binary_2_all_sent,adjacent_overlap_cw_sent,adjacent_overlap_binary_cw_sent,adjacent_overlap_2_cw_sent,adjacent_overlap_binary_fw_sent,adjacent_overlap_2_fw_sent,adjacent_overlap_binary_2_fw_sent,adjacent_overlap_binary_noun_sent,adjacent_overlap_binary_2_noun_sent,adjacent_overlap_verb_sent_div_seg,adjacent_overlap_binary_verb_sent,adjacent_overlap_2_verb_sent,adjacent_overlap_2_verb_sent_div_seg,adjacent_overlap_binary_2_verb_sent,adjacent_overlap_adv_sent,adjacent_overlap_adv_sent_div_seg,adjacent_overlap_binary_adv_sent,adjacent_overlap_2_adv_sent,adjacent_overlap_2_adv_sent_div_seg,adjacent_overlap_binary_2_adv_sent,adjacent_overlap_pronoun_sent,adjacent_overlap_pronoun_sent_div_seg,adjacent_overlap_binary_pronoun_sent,adjacent_overlap_2_pronoun_sent,adjacent_overlap_2_pronoun_sent_div_seg,adjacent_overlap_binary_2_pronoun_sent,adjacent_overlap_argument_sent,adjacent_overlap_binary_argument_sent,adjacent_overlap_binary_2_argument_sent,adjacent_overlap_cw_para,adjacent_overlap_cw_para_div_seg,adjacent_overlap_2_cw_para,adjacent_overlap_2_cw_para_div_seg,adjacent_overlap_verb_para_div_seg,adjacent_overlap_binary_verb_para,adjacent_overlap_2_verb_para,adjacent_overlap_2_verb_para_div_seg,adjacent_overlap_binary_2_verb_para,adjacent_overlap_binary_2_adj_para,adjacent_overlap_adv_para,adjacent_overlap_adv_para_div_seg,adjacent_overlap_binary_adv_para,adjacent_overlap_2_adv_para,adjacent_overlap_2_adv_para_div_seg,adjacent_overlap_binary_2_adv_para,adjacent_overlap_pronoun_para,adjacent_overlap_pronoun_para_div_seg,adjacent_overlap_binary_pronoun_para,adjacent_overlap_2_pronoun_para,adjacent_overlap_2_pronoun_para_div_seg,adjacent_overlap_binary_2_pronoun_para,adjacent_overlap_argument_para,adjacent_overlap_argument_para_div_seg,syn_overlap_sent_noun,syn_overlap_sent_verb,syn_overlap_para_noun,syn_overlap_para_verb,disjunctions,lexical_subordinators,reason_and_purpose,all_demonstratives,attended_demonstratives,unattended_demonstratives,all_additive,all_logical,positive_logical,all_negative,pronoun_density,pronoun_noun_ratio,repeated_content_lemmas,repeated_content_and_pronoun_lemmas,lexical_density_types,function_ttr,adjacent_overlap_all_sent,adjacent_overlap_all_sent_div_seg,adjacent_overlap_2_all_sent,adjacent_overlap_2_all_sent_div_seg,adjacent_overlap_binary_2_cw_sent,adjacent_overlap_fw_sent_div_seg,adjacent_overlap_verb_sent,adjacent_overlap_2_adj_sent,adjacent_overlap_2_adj_sent_div_seg,adjacent_overlap_binary_2_adj_sent,adjacent_overlap_all_para,adjacent_overlap_all_para_div_seg,adjacent_overlap_2_all_para,adjacent_overlap_2_all_para_div_seg,adjacent_overlap_fw_para_div_seg,adjacent_overlap_binary_fw_para,adjacent_overlap_2_fw_para_div_seg,adjacent_overlap_2_noun_para,adjacent_overlap_verb_para,adjacent_overlap_2_adj_para,adjacent_overlap_2_adj_para_div_seg,lsa_2_all_para,lda_1_all_sent,lda_2_all_sent,lda_1_all_para,basic_connectives,conjunctions,addition,positive_causal,opposition,negative_logical,all_temporal,positive_intentional,all_positive,all_connective,lemma_mattr,adjacent_overlap_cw_sent_div_seg,adjacent_overlap_2_cw_sent_div_seg,adjacent_overlap_fw_sent,adjacent_overlap_fw_para,adjacent_overlap_2_fw_para,adjacent_overlap_noun_para_div_seg,adjacent_overlap_2_noun_para_div_seg,lsa_1_all_sent,lsa_1_all_para,coordinating_conjuncts,all_causal,determiners,adjacent_overlap_2_fw_sent_div_seg,adjacent_overlap_noun_sent,adjacent_overlap_2_noun_sent,adjacent_overlap_adj_sent,adjacent_overlap_adj_sent_div_seg,adjacent_overlap_binary_adj_sent,adjacent_overlap_argument_sent_div_seg,adjacent_overlap_2_argument_sent_div_seg,adjacent_overlap_noun_para,adjacent_overlap_adj_para,adjacent_overlap_adj_para_div_seg,adjacent_overlap_binary_adj_para,adjacent_overlap_2_argument_para_div_seg,lda_2_all_para,word2vec_1_all_sent,word2vec_2_all_sent,word2vec_1_all_para,word2vec_2_all_para,sentence_linking,order,adjacent_overlap_noun_sent_div_seg,adjacent_overlap_2_noun_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_noun_para,adjacent_overlap_binary_argument_para,adjacent_overlap_2_argument_sent,adjacent_overlap_binary_cw_para,adjacent_overlap_2_argument_para,adjacent_overlap_binary_all_para,adjacent_overlap_binary_2_fw_para,adjacent_overlap_binary_2_noun_para,adjacent_overlap_binary_2_argument_para,adjacent_overlap_binary_2_cw_para,adjacent_overlap_binary_2_all_para
end marriage / break marriage,1.7599885673168079,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,,higher in metaphorical,higher in metaphorical,,
end process / break process,0.5033969873957557,,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,higher in literal,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,,,,,,,,,higher in literal,,higher in literal,,higher in literal,,,,higher in metaphorical,,,,higher in literal,,,,,higher in literal,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in metaphorical,,,,higher in metaphorical,,,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,higher in literal,,,,,,,,higher in literal,higher in literal,higher in literal,,,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,,,,,higher in metaphorical,higher in literal,,,
instill life / breathe life,1.3412589991881203,,higher in metaphorical,,higher in literal,,,higher in literal,,,,,,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,,,,,higher in literal,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,higher in literal,,,higher in literal,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,
instill sense / breathe sense,0.7628723137028486,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,,,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in literal,,,,,,higher in literal,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in literal,,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in literal,,,,,,
instill confidence / breathe confidence,1.3465997274922406,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,higher in literal,,,higher in literal,,higher in literal,,,,,,
instill value / breathe value,1.7642683565639155,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,higher in literal,,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,
instill spirit / breathe spirit,1.0452743914664286,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,,,,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,,,higher in literal,higher in literal,higher in literal,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,higher in literal,,
instill love / breathe love,1.6169958880798785,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in literal,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,higher in literal,higher in metaphorical,higher in literal,,,,higher in metaphorical,,higher in metaphorical,,,,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,
instill hope / breathe hope,0.8078356993592104,,higher in literal,,,,,,,higher in literal,,,,,,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,,,,,,higher in literal,higher in literal,higher in metaphorical,,,,,higher in literal,higher in literal,,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,,,,,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,,,,,,,,
instill idea / breathe idea,1.337175935977385,,higher in literal,,,,,,,higher in metaphorical,,,higher in literal,,,higher in metaphorical,,higher in metaphorical,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,,,higher in literal,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in literal,,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,higher in metaphorical,,
instill passion / breathe passion,1.2414965110757423,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in literal,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,higher in literal,higher in metaphorical,,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,higher in literal,,higher in literal,,higher in metaphorical,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,,higher in literal,higher in literal,,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,,,,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,,higher in literal,,,,higher in metaphorical,,higher in metaphorical,,,,,,
believe story / buy story,0.9799108584493736,,higher in literal,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,,,higher in literal,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,,higher in metaphorical,higher in metaphorical,higher in metaphorical,,higher in literal,higher in metaphorical,higher in literal,higher in metaphorical,,higher in metaphorical,,,higher in metaphorical,,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,,,higher in literal,,higher in literal,higher in literal,higher in literal,higher in metaphorical,,,,,,,,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,,,,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,higher in literal,higher in literal,,,,,higher in metaphorical,,higher in metaphorical,higher in literal,higher in metaphorical,higher in metaphorical,,,,,,higher in metaphorical,,,,higher in metaphorical,,higher in literal,higher in literal,higher in literal,higher in literal,higher in metaphorical,higher in metaphorical,higher in literal,,,higher in literal,higher in literal,higher in metaphorical,,higher in metaphorical,higher in literal,,higher in literal,,,
