met	lit	met_count	lit_count
mount demonstration	organise demonstration	96	1286
mount protest	organise protest	237	1455
mount production	organize production	322	316
mount event	organize event	49	5955
mount campaign	organize campaign	2288	1197
mount conference	organize conference	19	2947
mount exhibition	organize exhibition	765	1229
mount demonstration	organize demonstration	96	1050
mount protest	organize protest	237	1552
poison mind	corrupt mind	596	402
poison system	corrupt system	148	556
poison process	corrupt process	31	343
poison soul	corrupt soul	88	188
poison relationship	corrupt relationship	141	48
pour money	invest money	2383	10003
pour fortune	invest fortune	20	134
push drug	sell drug	311	3680
recapture feeling	recall feeling	63	245
recapture memory	recall memory	34	1112
recapture moment	recall moment	55	961
recapture experience	recall experience	43	887
shake confidence	damage confidence	870	440
shake foundation	damage foundation	1124	138
shape result	determine result	100	1125
shape life	determine life	3737	848
shape outcome	determine outcome	451	3472
shape success	determine success	104	2795
shape strategy	determine strategy	724	1061
shipwreck career	ruin career	2	1165
sow doubt	cause doubt	246	257
sow death	cause death	44	18023
sow confusion	cause confusion	345	7077
sow chaos	cause chaos	76	2622
sow conflict	cause conflict	18	2110
sow panic	cause panic	33	1808
sow fear	cause fear	133	1365
sow violence	cause violence	22	930
sow uncertainty	cause uncertainty	11	591
sow terror	cause terror	85	252
sow hatred	cause hatred	68	181
stir excitement	cause excitement	113	766
stir confusion	cause confusion	22	7077
stir reaction	cause reaction	94	3894
stir feeling	cause feeling	530	1357
stir emotion	cause emotion	1009	227
suck worker	attract worker	12	690
suck talent	attract talent	31	1693
tackle question	address question	2250	21778
tackle issue	address issue	11995	79175
tackle problem	address problem	15180	35477
tackle concern	address concern	299	17506
tackle challenge	address challenge	3352	11541
tackle situation	address situation	533	3465
tackle point	address point	111	4098
tackle crisis	address crisis	1322	2491
tackle matter	address matter	347	3451
tackle inequality	address inequality	1445	1543
tackle task	address task	1017	396
taste freedom	experience freedom	145	594
taste pain	experience pain	21	5984
taste life	experience life	130	3837
taste joy	experience joy	102	2071
throw remark	make remark	72	13467
throw comment	make comment	282	47768
twist word	misinterpret word	876	187
twist fact	misinterpret fact	599	47
twist meaning	misinterpret meaning	218	109
twist comment	misinterpret comment	37	148
twist situation	misinterpret situation	39	72
twist information	misinterpret information	28	114
twist message	misinterpret message	46	101
wear smile	have smile	876	5975
