met	lit
digest information	comprehend information
digest meaning	comprehend meaning
digest material	comprehend material
digest fact	comprehend fact
digest text	comprehend text
digest concept	comprehend concept
digest idea	comprehend idea
digest word	comprehend word
digest content	comprehend content
digest situation	comprehend situation
digest message	comprehend message
disown past	reject past
disown idea	reject idea
disown policy	reject policy
disown responsibility	reject responsibility
drop price	reduce price
drop cost	reduce cost
drop rate	reduce rate
drop temperature	reduce temperature
drown trouble	forget trouble
drown pain	forget pain
drown problem	forget problem
drown feeling	forget feeling
dull appetite	decrease appetite
dull pain	decrease pain
dull sense	decrease sense
dull noise	decrease noise
dull feeling	decrease feeling
find excuse	make excuse
find way	make way
find connection	make connection
float idea	suggest idea
float theory	suggest theory
float concept	suggest concept
flood market	saturate market
follow profession	practice profession
follow religion	practice religion
follow activity	practice activity
follow profession	practise profession
follow religion	practise religion
follow activity	practise activity
frame question	pose question
frame problem	pose problem
frame challenge	pose challenge
frame issue	pose issue
frame debate	pose debate
frame concern	pose concern
frame argument	pose argument
frame idea	pose idea
frame hypothesis	pose hypothesis
fuel debate	stimulate debate
fuel growth	stimulate growth
fuel economy	stimulate economy
fuel interest	stimulate interest
fuel discussion	stimulate discussion
fuel demand	stimulate demand
fuel activity	stimulate activity
fuel imagination	stimulate imagination
fuel creativity	stimulate creativity
fuel conversation	stimulate conversation
grasp meaning	understand meaning
grasp concept	understand concept
grasp issue	understand issue
grasp point	understand point
grasp problem	understand problem
grasp situation	understand situation
grasp reason	understand reason
grasp language	understand language
grasp idea	understand idea
grasp risk	understand risk
grasp question	understand question
juggle job	manage job
juggle project	manage project
juggle work	manage work
juggle life	manage life
juggle career	manage career
juggle school	manage school
kill proposal	cancel proposal
kill project	cancel project
kill bill	cancel bill
kill program	cancel program
kill process	cancel process
kill agreement	cancel agreement
kill deal	cancel deal
leak report	disclose report
leak information	disclose information
leak document	disclose document
leak story	disclose story
mount production	organise production
mount event	organise event
mount campaign	organise campaign
mount conference	organise conference
mount exhibition	organise exhibition
mount demonstration	organise demonstration
mount protest	organise protest
mount production	organize production
mount event	organize event
mount campaign	organize campaign
mount conference	organize conference
mount exhibition	organize exhibition
mount demonstration	organize demonstration
mount protest	organize protest
poison mind	corrupt mind
poison system	corrupt system
poison process	corrupt process
poison soul	corrupt soul
poison relationship	corrupt relationship
pour money	invest money
pour fortune	invest fortune
push drug	sell drug
recapture feeling	recall feeling
recapture memory	recall memory
recapture moment	recall moment
recapture experience	recall experience
shake confidence	damage confidence
shake foundation	damage foundation
shape result	determine result
shape life	determine life
shape outcome	determine outcome
shape success	determine success
shape strategy	determine strategy
shipwreck career	ruin career
sow doubt	cause doubt
sow death	cause death
sow confusion	cause confusion
sow chaos	cause chaos
sow conflict	cause conflict
sow panic	cause panic
sow fear	cause fear
sow violence	cause violence
sow uncertainty	cause uncertainty
sow terror	cause terror
sow hatred	cause hatred
stir excitement	cause excitement
stir confusion	cause confusion
stir reaction	cause reaction
stir feeling	cause feeling
stir emotion	cause emotion
suck worker	attract worker
suck talent	attract talent
tackle question	address question
tackle issue	address issue
tackle problem	address problem
tackle concern	address concern
tackle challenge	address challenge
tackle situation	address situation
tackle point	address point
tackle crisis	address crisis
tackle matter	address matter
tackle inequality	address inequality
tackle task	address task
taste freedom	experience freedom
taste pain	experience pain
taste life	experience life
taste joy	experience joy
throw remark	make remark
throw comment	make comment
twist word	misinterpret word
twist fact	misinterpret fact
twist meaning	misinterpret meaning
twist comment	misinterpret comment
twist situation	misinterpret situation
twist information	misinterpret information
twist message	misinterpret message
wear smile	have smile
